degree,specialization,cgpa,certifications,skills,job_role
BCA,Database,7.6,"Oracle, MySQL","SQL, MySQL, Oracle, MongoDB, Database Design, NoSQL",Database Administrator
B.Tech,Computer Science,7.0,"CompTIA Network+","Networking, TCP/IP, Linux, DNS, DHCP, Firewall",Network Engineer
B.Tech,Information Technology,8.3,"AWS Developer","Python, AWS Lambda, DynamoDB, S3, Serverless, Node.js",Cloud Architect
B.Tech,Computer Science,8.0,"Android Developer","Java, Kotlin, Android, REST API, Firebase, Mobile",Mobile App Developer
B.Tech,Computer Science,7.8,"iOS Developer","Swift, iOS, Xcode, REST API, Firebase, Mobile",Mobile App Developer
M.Tech,Mobile Computing,8.6,"Flutter, React Native","Flutter, Dart, React Native, Android, iOS, Firebase",Mobile App Developer
BCA,Mobile Development,7.4,"Android Basics","Java, Android Studio, XML, SQLite, Mobile",Mobile App Developer
B.Tech,Computer Science,8.1,"Salesforce Admin","CRM, Salesforce, SQL, Business Analysis, Requirements",Business Analyst
MBA,Finance,8.5,"CFA, FRM","Financial Modeling, Excel, Python, Risk Analysis, Forecasting",Financial Analyst
B.Com,Accounting,7.8,"Tally, CA Foundation","Accounting, Tally, Excel, Financial Reporting, GST, Taxation",Financial Analyst
B.Tech,Computer Science,7.9,"SAP FICO","SAP, ERP, Business Analysis, SQL, Finance, Accounting",Business Analyst
M.Tech,Data Engineering,9.0,"Apache Spark, Kafka","Python, Spark, Hadoop, Kafka, Airflow, SQL, Big Data",Data Engineer
B.Tech,Computer Science,8.5,"Apache Spark","Python, Spark, Hadoop, SQL, ETL, Big Data, Hive",Data Engineer
B.Tech,Information Technology,8.0,"AWS Glue, Redshift","SQL, ETL, AWS, Python, Data Pipeline, Redshift",Data Engineer
MCA,Data Engineering,8.3,"Kafka, Airflow","Python, SQL, Kafka, Airflow, ETL, Data Warehouse",Data Engineer
B.Tech,Computer Science,8.2,"Kubernetes, Terraform","Docker, Kubernetes, Terraform, AWS, CI/CD, Ansible",DevOps Engineer
B.E,Computer Science,7.8,"Jenkins, Docker","Docker, Jenkins, Linux, Git, CI/CD, Shell Scripting",DevOps Engineer
M.Tech,Computer Science,8.4,"Azure DevOps","Azure, DevOps, Kubernetes, Docker, Terraform, Pipeline",DevOps Engineer
B.Tech,Computer Science,7.6,"Oracle DBA","SQL, Oracle, MySQL, PostgreSQL, Database Tuning, Backup",Database Administrator
M.Tech,Database Systems,8.7,"Oracle, MongoDB","SQL, NoSQL, MongoDB, Oracle, Database Design, Query Optimization",Database Administrator
B.Tech,Computer Science,8.0,"PMP Certified","Project Management, Agile, Scrum, Risk Management, Stakeholder",Product Manager
MBA,Product Management,8.8,"Pragmatic, Aha!","Product Strategy, Roadmap, Agile, UX, Analytics, Stakeholder",Product Manager
